MOPFI_RECORDS marked as "not in Burma Campaing UK" (31 entries)

Jewelry & Gems | Shwe Nan Taw
Jewelry & Gems | Forever Gems by Shwe Nan Taw
Jewelry & Gems | The Myanmar Gems Emporium
Steel | Myanmar POSCO C&C Company Limited
Steel | Myanmar POSCO Steel Company Limited
Ports | Boaungkyaw Terminal (Yangon)
Logistics & Purchased Services | Arrow Logistics and Purchased Services
Media / Entertainment (Senior General Min Aung Hlaing) | Everfit Gym – Everfit Company Limited
Media / Entertainment (Senior General Min Aung Hlaing) | 7th Sense Entertainment – Seventh Sense Company Limited
Media / Entertainment (Senior General Min Aung Hlaing) | Stellar Seven – Stellar Seven Company Limited
Media / Entertainment (Senior General Min Aung Hlaing) | The Yangon Restaurant
Media / Entertainment (Senior General Min Aung Hlaing) | The Yangon Gallery
Media / Entertainment (Senior General Min Aung Hlaing) | Attractive Myanmar – Attractive Myanmar Company Limited
Media / Entertainment (Senior General Min Aung Hlaing) | Azura Beach Hotel
Construction (Min Aung Hlaing) | Sky One – Sky One Construction Company Limited
Construction (Min Aung Hlaing) | Pinnacle Asia – Pinnacle Asia Company Limited
Trading (Min Aung Hlaing) | Bhone Myat Pyae Sone Trading Company Limited
Trading (Min Aung Hlaing) | Nyein Chan Pyae Sone Manufacturing & Trading Company Limited
Medical Supply Business (Min Aung Hlaing) | A&M Mahar – A & M Mahar Company Limited
Others (Min Aung Hlaing) | Apower Company Limited
Others (Min Aung Hlaing) | Photo City Company Limited
Wedding Event And Led Light Decorations Service (General Maung Maung Kyaw) | Paramount Events Myanmar Company Limited
Construction (Maung Maung Kyaw) | Paramount Myanmar Alliance Company Limited
Bulk material handling industry (Maung Maung Kyaw) | Singa Systems Company Limited
Manufacturing (Lieutenant-General Aung Lin Dwe) | Shwe Yee Phyo Pyae Company Limited
Construction (Aung Lin Dwe) | Aung Myint Mo Lin Company Limited
Construction (Aung Lin Dwe) | Mingalar Aung Myay Company Limited
General Trading (Admiral Tin Aung San) | Global Icon General Trading Company Limited
Healthcare | 500-Bed Military Hospital
Petroleum | Star High
Media | MRTV – Myanmar Radio and Television
